"id","model","status","date","link"
"23785","Unknown tank","Abandoned","07 Feb 2024","/view/23785/127933/"
"23774","T-80BV","Abandoned","06 Feb 2024","/view/23774/127923/"
"23772","T-80BV","Abandoned","06 Feb 2024","/view/23772/127923/"
"23767","T-80BV","Abandoned","06 Feb 2024","/view/23767/127917/"
"23766","T-80BV","Abandoned","06 Feb 2024","/view/23766/127917/"
"23778","T-72B with T-72B3 Obr. 2016 turret","Destroyed","05 Feb 2024","/view/23778/127463/"
"23718","T-62MV Obr. 2022","Destroyed","05 Feb 2024","/view/23718/127427/"
"23734","Unknown tank","Destroyed","04 Feb 2024","/view/23734/126967/"
"23731","Unknown tank","Destroyed","04 Feb 2024","/view/23731/126897/"
"23728","T-80BV","Destroyed","04 Feb 2024","/view/23728/126888/"
"23713","T-55A","Destroyed","04 Feb 2024","/view/23713/126904/"
"23705","T-90M 'Proryv'","Abandoned","03 Feb 2024","/view/23705/126706/"
"23664","Unknown tank","Abandoned","03 Feb 2024","/view/23664/126697/"
"23663","Unknown tank","Abandoned","03 Feb 2024","/view/23663/126697/"
"23497","T-80BV","Destroyed","03 Feb 2024","/view/23497/126695/"
"23695","T-72B3 Obr. 2022","Destroyed","02 Feb 2024","/view/23695/127003/"
"23693","T-80BV","Destroyed","02 Feb 2024","/view/23693/126562/"
"23635","Unknown T-72 Obr. 2022 variant","Abandoned","02 Feb 2024","/view/23635/126313/"
"23633","Unknown T-72 Obr. 2022 variant","Abandoned","02 Feb 2024","/view/23633/132105/"
"23632","T-90A","Destroyed","02 Feb 2024","/view/23632/132103/"
"24389","T-72B Obr. 1989","Abandoned","01 Feb 2024","/view/24389/133755/"
"23761","T-72B","Abandoned","01 Feb 2024","/view/23761/127822/"
"23665","T-72 *","Destroyed","01 Feb 2024","/view/23665/126699/"
"23644","T-80BV","Destroyed","01 Feb 2024","/view/23644/126195/"
"23643","T-72B","Destroyed","01 Feb 2024","/view/23643/126192/"
"23642","T-72B3","Destroyed","01 Feb 2024","/view/23642/126699/"
"23365","T-80BV Obr. 2022","Destroyed","31 Jan 2024","/view/23365/125930/"
"23639","Unknown tank","Destroyed","30 Jan 2024","/view/23639/126581/"
"23615","Unknown tank","Destroyed","30 Jan 2024","/view/23615/125889/"
"23589","Unknown tank","Destroyed","30 Jan 2024","/view/23589/126580/"
"23586","T-80BV","Abandoned","30 Jan 2024","/view/23586/126076/"
"23580","Unknown tank","Destroyed","30 Jan 2024","/view/23580/126603/"
